Team,Date,Innings,Runs Scored,Result
Royal Challengers Bangalore,2015-05-04,[],124,Lost
Royal Challengers Bangalore,2015-05-06,[],226,Won
Royal Challengers Bangalore,2015-05-10,[],235,Won
Royal Challengers Bangalore,2015-05-13,[],84,Lost
Royal Challengers Bangalore,2015-05-15,[],83,Lost
Royal Challengers Bangalore,2015-05-17,[],2,Lost
Royal Challengers Bangalore,2015-05-20,[],180,Won
Royal Challengers Bangalore,2015-05-22,[],139,Won
Royal Challengers Bangalore,2016-04-12,[],227,Won
Royal Challengers Bangalore,2016-04-17,[],191,Won
Royal Challengers Bangalore,2016-04-20,[],170,Won
Royal Challengers Bangalore,2016-04-22,[],185,Won
Royal Challengers Bangalore,2016-04-24,[],180,Won
Royal Challengers Bangalore,2016-04-30,[],179,Won
Royal Challengers Bangalore,2016-05-02,[],185,Won
Royal Challengers Bangalore,2016-05-07,[],195,Won
Royal Challengers Bangalore,2016-05-09,[],175,Won
Royal Challengers Bangalore,2016-05-11,[],151,Won
Royal Challengers Bangalore,2016-05-14,[],248,Won
Royal Challengers Bangalore,2016-05-16,[],186,Won
Royal Challengers Bangalore,2016-05-18,[],211,Won
Royal Challengers Bangalore,2016-05-22,[],139,Lost
Royal Challengers Bangalore,2016-05-24,[],159,Won
Royal Challengers Bangalore,2016-05-29,[],200,Won
Royal Challengers Bangalore,2017-04-05,[],172,Lost
Royal Challengers Bangalore,2017-04-08,[],157,Won
Royal Challengers Bangalore,2017-04-10,[],148,Won
Royal Challengers Bangalore,2017-04-14,[],142,Won
Royal Challengers Bangalore,2017-04-16,[],134,Lost
Royal Challengers Bangalore,2017-04-18,[],213,Won
Royal Challengers Bangalore,2017-04-23,[],49,Lost
Royal Challengers Bangalore,2017-04-27,[],134,Won
Royal Challengers Bangalore,2017-04-29,[],96,Lost
Royal Challengers Bangalore,2017-05-01,[],162,Won
Royal Challengers Bangalore,2017-05-05,[],119,Lost
Royal Challengers Bangalore,2017-05-07,[],158,Won
Royal Challengers Bangalore,2017-05-14,[],161,Won
Royal Challengers Bangalore,2019-03-23,[],70,Won
Royal Challengers Bangalore,2019-03-28,[],181,Won
Royal Challengers Bangalore,2019-03-31,[],113,Lost
Royal Challengers Bangalore,2019-04-02,[],158,Won
Royal Challengers Bangalore,2019-04-05,[],205,Won
Royal Challengers Bangalore,2019-04-07,[],149,Won
Royal Challengers Bangalore,2019-04-13,[],174,Lost
Royal Challengers Bangalore,2019-04-15,[],171,Won
Royal Challengers Bangalore,2018-04-08,[],176,Won
Royal Challengers Bangalore,2018-04-13,[],159,Won
Royal Challengers Bangalore,2018-04-15,[],198,Lost
Royal Challengers Bangalore,2018-04-17,[],167,Lost
Royal Challengers Bangalore,2018-04-21,[],176,Lost
Royal Challengers Bangalore,2018-04-25,[],205,Won
Royal Challengers Bangalore,2018-04-29,[],175,Won
Royal Challengers Bangalore,2018-05-01,[],167,Won
Royal Challengers Bangalore,2018-05-05,[],127,Won
Royal Challengers Bangalore,2018-05-07,[],141,Won
Royal Challengers Bangalore,2018-05-12,[],187,Lost
Royal Challengers Bangalore,2018-05-14,[],92,Won
Royal Challengers Bangalore,2018-05-17,[],218,Won
Royal Challengers Bangalore,2018-05-19,[],134,Lost
Royal Challengers Bangalore,2019-04-19,[],213,Won
Royal Challengers Bangalore,2019-04-21,[],161,Won
Royal Challengers Bangalore,2019-04-24,[],202,Won
Royal Challengers Bangalore,2019-04-28,[],171,Lost
Royal Challengers Bangalore,2019-04-30,[],62,Won
Royal Challengers Bangalore,2019-05-04,[],178,Won
Royal Challengers Bangalore,2020-09-21,[],163,Won
Royal Challengers Bangalore,2020-09-24,[],109,Lost
Royal Challengers Bangalore,2020-09-28,[],201,Lost
Royal Challengers Bangalore,2020-10-03,[],158,Won
Royal Challengers Bangalore,2020-10-05,[],137,Lost
Royal Challengers Bangalore,2020-10-10,[],169,Won
Royal Challengers Bangalore,2020-10-12,[],194,Won
Royal Challengers Bangalore,2020-10-15,[],171,Won
Royal Challengers Bangalore,2020-10-17,[],179,Won
Royal Challengers Bangalore,2020-10-21,[],85,Won
Royal Challengers Bangalore,2020-10-25,[],145,Lost
Royal Challengers Bangalore,2020-10-28,[],164,Won
Royal Challengers Bangalore,2020-10-31,[],120,Won
Royal Challengers Bangalore,2020-11-02,[],152,Won
Royal Challengers Bangalore,2020-11-06,[],131,Won
Royal Challengers Bangalore,2021-04-09,[],160,Won
Royal Challengers Bangalore,2021-04-14,[],149,Won
Royal Challengers Bangalore,2021-04-18,[],204,Won
Royal Challengers Bangalore,2021-04-22,[],181,Won
Royal Challengers Bangalore,2021-04-25,[],122,Lost
Royal Challengers Bangalore,2021-04-27,[],171,Won
Royal Challengers Bangalore,2021-04-30,[],145,Lost
Royal Challengers Bangalore,2021-09-20,[],92,Won
Royal Challengers Bangalore,2021-09-24,[],156,Won
Royal Challengers Bangalore,2021-09-26,[],165,Won
Royal Challengers Bangalore,2021-09-29,[],153,Won
Royal Challengers Bangalore,2021-10-03,[],164,Won
Royal Challengers Bangalore,2021-10-06,[],137,Lost
Royal Challengers Bangalore,2021-10-08,[],166,Lost
Royal Challengers Bangalore,2021-10-11,[],138,Won
Royal Challengers Bangalore,2022-03-27,[],205,Won
Royal Challengers Bangalore,2022-03-30,[],132,Won
Royal Challengers Bangalore,2022-04-05,[],173,Won
Royal Challengers Bangalore,2022-04-09,[],152,Won
Royal Challengers Bangalore,2022-04-12,[],193,Lost
Royal Challengers Bangalore,2022-04-16,[],189,Lost
Royal Challengers Bangalore,2022-04-19,[],181,Won
Royal Challengers Bangalore,2022-04-23,[],68,Lost
Royal Challengers Bangalore,2022-04-26,[],115,Lost
Royal Challengers Bangalore,2022-04-30,[],170,Won
Royal Challengers Bangalore,2022-05-04,[],173,Won
Royal Challengers Bangalore,2022-05-08,[],192,Won
Royal Challengers Bangalore,2022-05-13,[],155,Lost
Royal Challengers Bangalore,2022-05-19,[],170,Won
Royal Challengers Bangalore,2022-05-25,[],207,Won
