Team,Date,Innings,Runs Scored,Result
Mumbai Indians,2016-05-11,[],153,Won
Mumbai Indians,2016-05-13,[],124,Won
Mumbai Indians,2016-05-15,[],206,Won
Mumbai Indians,2016-05-21,[],172,Won
Mumbai Indians,2017-04-06,[],184,Won
Mumbai Indians,2017-04-09,[],180,Won
Mumbai Indians,2017-04-12,[],159,Won
Mumbai Indians,2017-04-14,[],145,Won
Mumbai Indians,2017-04-16,[],177,Won
Mumbai Indians,2017-04-20,[],199,Won
Mumbai Indians,2017-04-22,[],142,Won
Mumbai Indians,2017-04-24,[],157,Won
Mumbai Indians,2017-04-29,[],153,Lost
Mumbai Indians,2017-05-01,[],165,Won
Mumbai Indians,2017-05-06,[],212,Won
Mumbai Indians,2017-05-08,[],138,Won
Mumbai Indians,2017-05-11,[],223,Won
Mumbai Indians,2017-05-13,[],173,Won
Mumbai Indians,2017-05-16,[],142,Lost
Mumbai Indians,2017-05-19,[],111,Won
Mumbai Indians,2017-05-21,[],129,Won
Mumbai Indians,2019-03-24,[],176,Won
Mumbai Indians,2019-03-28,[],187,Won
Mumbai Indians,2019-03-30,[],176,Won
Mumbai Indians,2019-04-03,[],170,Won
Mumbai Indians,2019-04-06,[],136,Lost
Mumbai Indians,2019-04-10,[],198,Won
Mumbai Indians,2019-04-13,[],187,Won
Mumbai Indians,2019-04-15,[],172,Won
Mumbai Indians,2018-04-07,[],165,Won
Mumbai Indians,2018-04-12,[],147,Lost
Mumbai Indians,2018-04-14,[],194,Won
Mumbai Indians,2018-04-17,[],213,Won
Mumbai Indians,2018-04-22,[],167,Lost
Mumbai Indians,2018-04-24,[],62,Lost
Mumbai Indians,2018-04-24,[],25,No opponent information
Mumbai Indians,2018-04-28,[],170,Won
Mumbai Indians,2018-05-01,[],153,Lost
Mumbai Indians,2018-05-04,[],176,Won
Mumbai Indians,2018-05-06,[],181,Won
Mumbai Indians,2018-05-09,[],210,Won
Mumbai Indians,2018-05-13,[],168,Won
Mumbai Indians,2018-05-16,[],186,Won
